,latitude,longitude,geometry
95,41.038155,-73.558082,POINT (-73.558082 41.038155)
96,37.7753,-122.4186,POINT (-122.4186 37.7753)
97,37.451026,-122.18676,POINT (-122.18676 37.451026)
98,34.42071,-119.641821,POINT (-119.641821 34.42071)
99,37.55909,-122.321836,POINT (-122.321836 37.55909)
100,37.787092,-122.399972,POINT (-122.399972 37.787092)
101,37.419819,-122.090188,POINT (-122.090188 37.419819)
102,52.3640933,4.8919457,POINT (4.8919457 52.3640933)
102,37.787683,-122.410943,POINT (-122.410943 37.787683)
102,51.500152,-0.126236,POINT (-0.126236 51.500152)
103,37.792394,-122.402349,POINT (-122.402349 37.792394)
104,37.775196,-122.419204,POINT (-122.419204 37.775196)
105,37.4858654,-122.2262606,POINT (-122.2262606 37.4858654)
106,37.386376,-121.991471,POINT (-121.991471 37.386376)
107,47.620716,-122.347533,POINT (-122.347533 47.620716)
108,37.408256,-122.154176,POINT (-122.154176 37.408256)
109,49.283376,-123.103986,POINT (-123.103986 49.283376)
110,34.017506,-118.401579,POINT (-118.401579 34.017506)
111,39.205649,-76.77514,POINT (-76.77513999999999 39.205649)
111,40.753631,-73.995487,POINT (-73.995487 40.753631)
111,42.359146,-71.056604,POINT (-71.05660399999999 42.359146)
113,59.3167843,18.1582777,POINT (18.1582777 59.3167843)
114,47.61968,-122.356756,POINT (-122.356756 47.61968)
115,37.368594,-122.034021,POINT (-122.034021 37.368594)
116,37.288974,-121.935688,POINT (-121.935688 37.288974)
117,42.362993,-71.086596,POINT (-71.086596 42.362993)
118,51.9122575,4.5464658,POINT (4.5464658 51.9122575)
119,37.386665,-122.084171,POINT (-122.084171 37.386665)
120,37.553743,-122.300246,POINT (-122.300246 37.553743)
122,37.524729,-122.258037,POINT (-122.258037 37.524729)
123,42.417268,-71.258466,POINT (-71.258466 42.417268)
124,40.797364,-73.97785,POINT (-73.97785 40.797364)
125,37.3927975,-122.0727749,POINT (-122.0727749 37.3927975)
126,32.877656,-117.210595,POINT (-117.210595 32.877656)
127,40.270666,-74.761403,POINT (-74.761403 40.270666)
128,31.046051,34.851612,POINT (34.851612 31.046051)
129,40.010492,-105.276843,POINT (-105.276843 40.010492)
130,51.500152,-0.126236,POINT (-0.126236 51.500152)
131,31.046051,34.851612,POINT (34.851612 31.046051)
132,38.0729365,-122.1879633,POINT (-122.1879633 38.0729365)
133,32.964294,-117.265191,POINT (-117.265191 32.964294)
134,34.052187,-118.243425,POINT (-118.243425 34.052187)
135,37.437328,-122.159928,POINT (-122.159928 37.437328)
136,39.998641,-86.130347,POINT (-86.130347 39.998641)
137,17.08881,-96.76492,POINT (-96.76492 17.08881)
138,37.491356,-122.228843,POINT (-122.228843 37.491356)
139,37.767575,-122.411157,POINT (-122.411157 37.767575)
141,37.7909427,-122.4084994,POINT (-122.4084994 37.7909427)
143,37.779507,-122.39071,POINT (-122.39071 37.779507)
144,47.682233,-122.135521,POINT (-122.135521 47.682233)
145,37.7911148,-122.3954751,POINT (-122.3954751 37.7911148)
146,37.786942,-122.401245,POINT (-122.401245 37.786942)
147,37.790998,-122.394668,POINT (-122.394668 37.790998)
148,37.5646055,-122.3229235,POINT (-122.3229235 37.5646055)
149,37.781557,-122.407959,POINT (-122.407959 37.781557)
150,40.010492,-105.276843,POINT (-105.276843 40.010492)
151,39.762314,-104.982256,POINT (-104.982256 39.762314)
152,42.35892,-71.05781,POINT (-71.05781 42.35892)
153,37.09024,-95.712891,POINT (-95.712891 37.09024)
155,37.762125,-122.4147,POINT (-122.4147 37.762125)
156,40.751816,-73.971655,POINT (-73.971655 40.751816)
156,59.3369746,18.0580765,POINT (18.0580765 59.3369746)
156,43.6587599,-79.5983626,POINT (-79.5983626 43.6587599)
157,51.517904,-0.139947,POINT (-0.139947 51.517904)
158,37.789488,-122.397593,POINT (-122.397593 37.789488)
159,37.32052,-121.948399,POINT (-121.948399 37.32052)
160,37.427235,-122.145783,POINT (-122.145783 37.427235)
161,42.372912,-71.118999,POINT (-71.118999 42.372912)
162,34.018275,-118.495025,POINT (-118.495025 34.018275)
163,37.09024,-95.712891,POINT (-95.712891 37.09024)
164,51.5194201,-0.1433689,POINT (-0.1433689 51.5194201)
165,37.782263,-122.392142,POINT (-122.392142 37.782263)
166,47.610332,-122.339859,POINT (-122.339859 47.610332)
167,30.268735,-97.745209,POINT (-97.745209 30.268735)
168,37.524422,-122.265869,POINT (-122.265869 37.524422)
168,34.017373,-118.453218,POINT (-118.453218 34.017373)
168,26.207024,-80.157296,POINT (-80.157296 26.207024)
169,39.755092,-104.988123,POINT (-104.988123 39.755092)
171,37.710677,-122.39323,POINT (-122.39323 37.710677)
172,41.53155,-72.188584,POINT (-72.18858400000001 41.53155)
172,43.7192415,-79.338246,POINT (-79.338246 43.7192415)
173,37.836957,-122.286493,POINT (-122.286493 37.836957)
174,37.766909,-122.406676,POINT (-122.406676 37.766909)
175,37.09024,-95.712891,POINT (-95.712891 37.09024)
176,26.400499,-80.097742,POINT (-80.097742 26.400499)
177,51.5108803,-0.1418973,POINT (-0.1418973 51.5108803)
178,37.48413,-122.169472,POINT (-122.169472 37.48413)
179,42.358822,-71.104329,POINT (-71.10432900000001 42.358822)
180,42.350274,-71.058768,POINT (-71.058768 42.350274)
